File Name,AvgIntensity
20200912_MAK_PBS_120_02,45122229
20200912_MAK_PBS_24_01,50150163
20200912_MAK_PBS_24_02,58345420
20200912_MAK_PBS_48_01,48391401
20200912_MAK_PBS_48_02,45779055
20200912_MAK_PBS_72_01,55865319
20200912_MAK_PBS_72_02,54666746
20200912_MAK_PBS_96_01,59626304
20200912_MAK_PBS_96_02,53022452
20200914_MAK_CDV_120_01,44904055
20200914_MAK_CDV_120_02,43662215
20200914_MAK_CDV_24_01,48906558
20200914_MAK_CDV_24_02,49222214
20200914_MAK_CDV_48_01,37449370
20200914_MAK_CDV_48_02,70969187
20200914_MAK_CDV_72_01,52689392
20200914_MAK_CDV_72_02,64721141
20200914_MAK_CDV_96_01,37423714
20200914_MAK_CDV_96_02,42125794
20200914_MAK_PBS_120_01,47396120
20200914_MAK_PBS_120_02,42066351
20200914_MAK_PBS_24_01,68226362
20200914_MAK_PBS_24_02,86532852
20200914_MAK_PBS_48_01,53664486
20200914_MAK_PBS_48_02,61645269
20200914_MAK_PBS_72_01,40819557
20200914_MAK_PBS_72_02,50257686
20200914_MAK_PBS_96_01,47476556
20200914_MAK_PBS_96_02,39620121
20201109_MAK_120HPI_MOI_125_01,36621299
20201109_MAK_120HPI_MOI_125_02,35099129
20201109_MAK_120HPI_MOI_25_01,36559197
20201109_MAK_120HPI_MOI_25_02,35453355
20201109_MAK_120HPI_MOI_625_01,37225508
20201109_MAK_120HPI_MOI_625_02,35826789
20201109_MAK_24HPI_MOI_05_01,45293672
20201109_MAK_24HPI_MOI_05_02,40592204
20201109_MAK_24HPI_MOI_125_01,37848726
20201109_MAK_24HPI_MOI_125_02,36744060
20201109_MAK_24HPI_MOI_25_01,41262935
20201109_MAK_24HPI_MOI_25_02,39908751
20201109_MAK_24HPI_MOI_625_01,36854798
20201109_MAK_24HPI_MOI_625_02,33376389
20201109_MAK_72HPI_MOI_05_01,43181125
20201109_MAK_72HPI_MOI_05_02,40225941
20201109_MAK_72HPI_MOI_125_01,34826174
20201109_MAK_72HPI_MOI_125_02,33688946
20201109_MAK_72HPI_MOI_25_01,37909735
20201109_MAK_72HPI_MOI_25_02,35140975
20201109_MAK_72HPI_MOI_625_01,33195287
20201109_MAK_72HPI_MOI_625_02,34095620
20201203_MAK_120HPI_MOI_05-1_01,26910991
20201203_MAK_120HPI_MOI_05-1_02,27538604
20201203_MAK_120HPI_MOI_05-2_01,28356997
20201203_MAK_120HPI_MOI_05-2_02,27939193
20201203_MAK_120HPI_MOI_125_01,36735276
20201203_MAK_120HPI_MOI_125_02,34339050
20201203_MAK_120HPI_MOI_25_01,23376420
20201203_MAK_120HPI_MOI_25_02,23725922
20201203_MAK_120HPI_MOI_625_01,41105305
20201203_MAK_120HPI_MOI_625_02,39256704
20201203_MAK_24HPI_MOI_05_01_20201208003358,39536306
20201203_MAK_24HPI_MOI_05_02_20201208020752,40356450
20201203_MAK_24HPI_MOI_125_01,34310303
20201203_MAK_24HPI_MOI_125_02,31708407
20201203_MAK_24HPI_MOI_25_01,31494554
20201203_MAK_24HPI_MOI_25_02,35356171
20201203_MAK_24HPI_MOI_625_01,32057372
20201203_MAK_24HPI_MOI_625_02,32080487
20201203_MAK_72HPI_MOI_05_01,34819424
20201203_MAK_72HPI_MOI_05_02,34431594
20201203_MAK_72HPI_MOI_125_01,29846312
20201203_MAK_72HPI_MOI_125_02,30804044
20201203_MAK_72HPI_MOI_25_01,33733758
20201203_MAK_72HPI_MOI_25_02,33204185
20201203_MAK_72HPI_MOI_625_01,23012603
20201203_MAK_72HPI_MOI_625_02,26304198
20201210_MAK_120HPI_MOI_05_01,15209059
20201210_MAK_120HPI_MOI_05_02,16856971
20201210_MAK_120HPI_MOI_125_01,15389210
20201210_MAK_120HPI_MOI_125_02,14481951
20201210_MAK_120HPI_MOI_25_01,14595251
20201210_MAK_120HPI_MOI_25_02,17877589
